ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL1201301,MANGAFODIPIR,MANGAFODIPIR,Small molecule,4,691.38,1.0,14.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,691.0614,None,C22H30MnN4O14P2,
CHEMBL1201477,POLYESTRADIOL PHOSPHATE,Estradurin|LEO 114|POLYEST PHOS|POLYESTRADIOL PHOS PHOSPHATE|POLYESTRADIOL PHOSPHATE,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1201625,CHOLESTYRAMINE,CHOLESTYRAMINE|CHOLESTYRAMINE LIGHT|CHOLESTYRAMINE RESIN|COLESTYRAMINE|Cholybar|Duolite AP143 Resin|LOCHOLEST|LOCHOLEST LIGHT|PREVALITE|Questran|Questran Light,Small molecule,4,,1.0,3.0,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1201473,COLESEVELAM HYDROCHLORIDE,CHOLESTAGEL|COLESEVELAM|COLESEVELAM HYDROCHLORIDE|GT-31-104HB|GT31-104HB|IW-3718|Welchol,Small molecule,4,,1.0,14.0,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2109162,HEMOGLOBIN GLUTAMER,HEMOGLOBIN GLUTAMER|HEMOGLOBIN GLUTAMER (BOVINE),Small molecule,2,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2109172,DIGITALIS,DIGITALIS|DIGITALIS LEAVES|DIGITALIS PURPUREA|DIGITALIS PURPUREA LEAF|DIGITALIS PURPUREA LEAF EXTRACT|Digifortis|Digiglusin,Small molecule,3,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1201649,"ESTROGENS, CONJUGATED","CONJUGATED ESTROGENS|Cenestin|ESTROGENS CONJUGATED|ESTROGENS, CONJUGATED|G03CA57|OESTROGEN|OESTROGENS CONJUGATED|Premarin|Premarin Cream",Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2110563,CYANOCOBALAMIN,BEHEPAN|Berubigen|Betalin 12|CALOMIST|CYANOCOBALAMIN|CYANOVIT-B12|CYCOBEMIN|CYTACON|CYTAMEN|Cobavite|DODEX|NSC-80365|Nascobal|RUBIVITE|RUBRAMIN PC|RUVITE|Redisol|Rubramin|VI-TWEL|VIBISONE|VITAMIN B12|VITAMIN B12 NOS|Vibalt|Vitamin B 12,Small molecule,4,1356.4,3.0,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,1355.5752,None,C63H89CoN14O14P,
CHEMBL1200994,GALLIUM CITRATE GA 67,67GA|GALLIUM (67 GA)|GALLIUM (67 GA) CITRATE|GALLIUM (67GA) CITRATE|GALLIUM CITRATE GA 67|GALLIUM CITRATE GA-67|Gallium citrate ga-67|Neoscan,Small molecule,4,256.03,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,257.9291,None,C6H5GaO7,
CHEMBL1200640,FERROUS FUMARATE,FERROUS FUMARATE|FERSADAY|FERSAMAL|Feostat|GALFER|METERFER|Toleron,Small molecule,4,169.9,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,169.9302,None,C4H2FeO4,
CHEMBL1366,AURANOFIN,AURANOFIN|Ridaura|SK&F 39162|SK&F-39162|SK-39162,Small molecule,4,678.49,122.0,507.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,678.1327,None,C20H34AuO9PS,
CHEMBL306043,GOLD SODIUM THIOMALATE,AUROTHIOMALATE DISODIUM|GOLD SODIUM THIOMALATE|MYOCRISIN|Myochrysine|SODIUM AUROTHIOMALATE,Small molecule,4,346.11,112.0,631.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,345.9574,None,C4H5AuO4S,
CHEMBL1201507,GLATIRAMER ACETATE,COP-1|COPOLYMER-1|Copaxone|GLATIRAMER ACETATE|GLATOPA|Glatiramer acetate,Small molecule,4,,1.0,17.0,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1200923,TECHNETIUM TC 99M DISOFENIN,Hepatolite|TECHNETIUM (99MTC) DISOFENIN|TECHNETIUM TC 99M DISOFENIN|TECHNETIUM TC-99M DISOFENIN KIT|Technetium (99Mtc) Disofenin|Technetium tc-99m disofenin kit,Small molecule,4,449.32,1.0,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,447.0905,None,C18H26N2O5Tc,
CHEMBL1201516,PENTOSAN POLYSULFATE SODIUM,Elmiron|FIBRASE|HEMOCLAR|NSC-626201|PENTOSAN POLYSULFATE SODIUM|PENTOSAN POLYSULFATE SODIUM SALT|PZ-68|PZ68|SP 54|SP-54|SP54,Small molecule,4,,2.0,19.0,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1201469,GRAMICIDIN,GRAMICIDIN|GRAMICIDINS|Gramoderm,Small molecule,4,,105.0,264.0,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1200823,IRON SUCROSE,FERRIC HYDROXIDE SUCROSE COMPLEX|IRON OXIDE SACCHARATED|IRON SACCHARATE|IRON SUCROSE|IRON SUCROSE COMPLEX|IRON SUGAR|IRON(III) HYDROXIDE SUCROSE COMPLEX|SACCHARATED FERRIC OXIDE|SACCHARATED IRON|SACCHARATED IRON OXIDE|Venofer|XI-921,Small molecule,4,398.14,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,398.0511,None,C12H22FeO11,
CHEMBL1200457,GADOVERSETAMIDE,GADOVERSETAMIDE|MP-1177|Optimark,Small molecule,4,661.77,3.0,19.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,662.1547,None,C20H34GdN5O10,
CHEMBL2108558,SENNA,B2056|CALIFIG|MANEVAC|SENNA|SENNA ALEXANDRINA|SENNA ALEXANDRINA DRY LEAF|SENNA ALEXANDRINA LEAF|SENNA ALEXANDRINA LEAF DRY EXTRACT|SENNA ALEXANDRINA LEAF EXTRACT|SENNA ALEXANDRINA LEAF POWDER|SENNA EXTRACT|SENNA GLYCOSIDES|SENNA LEAF|SENNOSIDE B|SENOKOT MAX STRGH|SURE-LAX|Senokot|X-PREP,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1200535,THALLOUS CHLORIDE TL 201,201TL|THALLIUM (201TL) CHLORIDE|THALLIUM CHLORIDE (201TL) INJECTION|THALLOUS CHLORIDE (201 TL)|THALLOUS CHLORIDE TL 201|THALLOUS CHLORIDE TL-201,Small molecule,4,238.44,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,1,None,None,None,None,243.9746,None,H2ClTl,
CHEMBL1374360,MERCURIC CHLORIDE,Hg II chloride|MERCURIC CHLORIDE,Small molecule,0,271.5,108.0,310.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,1,None,None,None,None,271.9083,None,Cl2Hg,
CHEMBL1909079,STANNOUS FLUORIDE,OMNIGEL|STANNOUS FLUORIDE|Stop,Small molecule,4,156.71,106.0,584.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,1,None,None,None,None,157.899,None,F2Sn,
CHEMBL2108183,CRILANOMER,CRILANOMER,Small molecule,0,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2103737,HYDROXOCOBALAMIN,Alpharedisol|COBALIN-H|CYANOKIT|HEPAVIT|HYDROXOCOBALAMIN|HYDROXOCOBALAMIN ACETATE|HYDROXOCOBEMINE|HYDROXOMIN|MEGAMILBEDOCE|NEO-CYTAMEN,Small molecule,4,1346.38,2.0,18.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,1345.5671,None,C62H89CoN13O15P,
CHEMBL2103800,COLESTILAN CHLORIDE,BINDREN|COLESTILAN|COLESTILAN CHLORIDE|COLESTIMIDE|Cholebine (Japan)|MCI-196,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2109143,METAPROTERENOL POLISTIREX,METAPROTERENOL POLISTIREX,Small molecule,0,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
