Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4160248,,0,389.46,0,0.61,19,COCCN1C(N)=NC(N)=NC12CCN(C(=O)Nc1ccc(OC)cc1)CC2,EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4155824,Antiviral activity against Influenza B virus B/Ned/537/05 infected in MDCK cells assessed as protection against virus-induced reduction in cell viability after 3 to 6 days by MTS assay,F,BAO_0000218,organism-based format,influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4152296,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL4295108,,0,1710.64,None,None,2a,CCCCCCCCCCCCCCCCOCc1cn([C@H]2C(=O)N[C@@H]3Cc4ccc(c(Cl)c4)Oc4cc5cc(c4O)Oc4ccc(cc4Cl)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]4NC(=O)[C@H](NC(O)[C@@H]5NC(=O)[C@@H](NC3=O)c3cc(O)cc(c3)Oc3cc2ccc3O)c2ccc(O)c(c2)-c2c(O)cc(O)cc2[C@H](C(=O)O)NC4=O)nn1,EC50,'=',1300.0,nM,5.89,,,UO_0000065,,,,,False,CHEMBL4275432,Antiviral activity against Influenza B virus B/HK/05/72 infected in MDCK cells after 3 days by MTS assay,F,BAO_0000218,organism-based format,Influenza B virus (B/Hong Kong/05/1972),None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4270630,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL469986,,0,478.37,0,2.99,20,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCC(N)=O)[nH]c3ccc(Br)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL2206458,TAMIPHOSPHOR MONOETHYL ESTER,0,348.38,0,1.90,"3c, TP1Et",CCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,EC50,'=',695.0,nM,6.16,,,UO_0000065,,,,,False,CHEMBL2215931,Antiviral activity against Influenza B virus B/Sichuan/379/99 infected in MDCK cells assessed as protection against virus-induced cytopathic effect after 48 to 72 hrs by CellTiter 96 aqueous assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL2203066,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3308370,
CHEMBL2420188,,0,232.08,0,1.07,14a,CCCc1nc(N)[nH]c(=O)c1Br,EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL2422581,Antiviral activity against Influenza B virus infected in MDCK cells assessed as reduction in virus-induced cytopathogenicity,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL2417481,1,Scientific Literature,Eur. J. Med. Chem.,2013,CHEMBL3308370,
CHEMBL840,4-CHLOROPHENYLBIGUANIDE,0,211.66,0,1.17,31,N=C(N)NC(=N)Nc1ccc(Cl)cc1,EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4054625,Antiviral activity against Influenza B virus B/Ned/537/05 infected in MDCK cells assessed as inhibition of viral-induced cytopathic effect measured after 3 to 6 days post infection by formazan-based colorimetric assay,F,BAO_0000219,cell-based format,influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4052640,1,Scientific Literature,Eur J Med Chem,2017,None,
CHEMBL4127182,,0,511.52,1,3.78,E-8d,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1ccccc1)Cn1cc(C)c(=O)[nH]c1=O,EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4124877,Antiviral activity against Influenza B virus infected in MDCK cells assessed as inhibition of virus-induced visual cytopathicity,F,BAO_0000218,organism-based format,influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4118253,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL1630309,,0,412.85,0,4.29,4,O=C(c1ccccc1Cl)n1c(-c2ccc(S(=O)(=O)O)cc2)nc2ccccc21,EC50,'>',100.0,ug.mL-1,,Outside typical range,,UO_0000274,,,,,False,CHEMBL1639705,Antiviral activity against Influenza B virus infected in MDCK cells assessed as inhibition of virus induced cytopathicity by visual scoring of CPE,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1629526,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL261459,,0,271.23,0,-3.05,T-1105-ribonucleoside,NC(=O)c1nccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O,EC50,'=',24000.0,nM,4.62,,,UO_0000065,,,,,False,CHEMBL4137188,Antiviral activity against Influenza virus B/Ned/537/05 infected in MDCK cells assessed as reduction in viral replication at 3 days post infection by microscopic analysis,F,BAO_0000218,organism-based format,influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4130627,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL660,AMANTADINE,4,151.25,0,1.91,AMN,NC12CC3CC(CC(C3)C1)C2,EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
