Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3126778,,0,452.99,0,4.49,8b,C=C(C(=O)NCc1cn(Cc2cccc(Cl)c2)nn1)[C@@H]1CC[C@H](C)[C@@H]2CC(=O)C(C)=C2C1,IC50,'=',7.41,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL3131385,Antiviral activity against Influenza B virus jifang/13/97 infected in MDCK cells assessed as inhibition of virus-induced cytopathicity after 40 hrs,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL3124823,1,Scientific Literature,Eur. J. Med. Chem.,2014,CHEMBL3308370,
CHEMBL422016,,0,355.44,0,0.49,4b,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NCC)[C@H]1NC(C)=O,IC50,,,,,,Not Determined,,,,,,False,CHEMBL696967,Concentration required for reduction of plaque against influenza B; Not determined,F,BAO_0000218,organism-based format,influenza,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1134218,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL346548,,0,355.44,0,0.47,5b,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(=O)C(C)C,IC50,,,,,,Not Determined,,,,,,False,CHEMBL696967,Concentration required for reduction of plaque against influenza B; Not determined,F,BAO_0000218,organism-based format,influenza,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1134218,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL1200340,OSELTAMIVIR PHOSPHATE,4,410.4,0,1.29,OSV-p,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4409787,Antiviral activity against oseltamivir resistant Victoria lineage of Influenza B virus (B/Brisbane/60/2008) BX-35 infected in MDCK cells assessed as inhibition of virus-induced cytopathic effect measured after 45 hrs by CellTiter-Glo luminescence assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4406875,1,Scientific Literature,Bioorg Med Chem,2019,None,
CHEMBL1643,RIBAVIRIN,4,244.21,0,-3.01,ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IC50,'=',96200.0,nM,4.02,,,UO_0000065,,,,,False,CHEMBL897737,Antiviral activity against influenza B/Jifang/13/97 virus in MDCK cells by CPE assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1149649,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,CHEMBL3308370,
CHEMBL222813,ZANAMIVIR,4,332.31,1,-3.58,zanamivir,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,IC50,'=',5015000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL897737,Antiviral activity against influenza B/Jifang/13/97 virus in MDCK cells by CPE assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1149649,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,CHEMBL3308370,
CHEMBL222813,ZANAMIVIR,4,332.31,1,-3.58,zanamivir,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,IC50,'=',1579000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL897739,Antiviral activity against influenza B/Sichuan/83/2000 virus in MDCK cells by CPE assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1149649,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,CHEMBL3308370,
CHEMBL1643,RIBAVIRIN,4,244.21,0,-3.01,ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IC50,'=',164000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL897739,Antiviral activity against influenza B/Sichuan/83/2000 virus in MDCK cells by CPE assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1149649,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,CHEMBL3308370,
CHEMBL1643,RIBAVIRIN,4,244.21,0,-3.01,Ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IC50,'=',8000.0,nM,5.1,,,UO_0000065,,,,,False,CHEMBL4376259,Antiviral activity against Influenza B virus infected in MDCK cells assessed as inhibition in virus-induced cytopathic effect incubated for 40 hrs,F,BAO_0000218,organism-based format,influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4373726,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,
CHEMBL4476416,,0,381.47,0,3.47,5b,C=C(C(=O)OC)[C@@H]1CC[C@H](C)[C@H]2C(=C(C)C(=O)[C@H]2NC(=O)c2ccccc2)C1,IC50,'=',43800.0,nM,4.36,,,UO_0000065,,,,,False,CHEMBL4376259,Antiviral activity against Influenza B virus infected in MDCK cells assessed as inhibition in virus-induced cytopathic effect incubated for 40 hrs,F,BAO_0000218,organism-based format,influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4373726,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,
